Timestamp,range,velocity,correlation,evaluation,rssi
1.44755E+18,"[3.379999876022339, 3.4099998474121094, 3.3999998569488525, 3.3999998569488525]","[0.15700000524520874, 0.2540000081062317, -0.003000000026077032, -0.00800000037997961]","[0.9019608497619629, 0.9137255549430847, 0.9058824181556702, 0.9254902601242065]","[0.1882353127002716, 0.19215688109397888, 0.13333334028720856, 0.18431372940540314]","[70.19999694824219, 67.94999694824219, 63.0, 66.5999984741211]"
1.44755E+18,"[3.379999876022339, 3.4099998474121094, 3.369999885559082, 3.419999837875366]","[0.14300000667572021, 0.26900002360343933, -0.0020000000949949026, -0.007000000216066837]","[0.9960784912109375, 1.0, 0.8901961445808411, 1.0]","[0.15294118225574493, 0.21568629145622253, 0.16078431904315948, 0.19215688109397888]","[65.69999694824219, 72.0, 66.1500015258789, 65.25]"
1.44755E+18,"[3.419999837875366, 3.359999895095825, 3.3399999141693115, 3.429999828338623]","[0.11300000548362732, 0.2590000033378601, -0.003000000026077032, 0.0]","[1.0, 0.8666667342185974, 0.9764706492424011, 0.9490196704864502]","[0.2039215862751007, 0.22745099663734436, 0.1882353127002716, 0.19215688109397888]","[70.6500015258789, 72.0, 65.69999694824219, 66.1500015258789]"
1.44755E+18,"[3.4499998092651367, 3.359999895095825, 3.3299999237060547, 3.419999837875366]","[0.10300000756978989, 0.2120000123977661, 0.01100000087171793, 0.0]","[0.9490196704864502, 0.8862745761871338, 0.874509871006012, 0.960784375667572]","[0.21568629145622253, 0.250980406999588, 0.2196078598499298, 0.20784315466880798]","[71.54999542236328, 74.69999694824219, 69.29999542236328, 69.29999542236328]"
1.44755E+18,"[3.379999876022339, 3.419999837875366, 3.429999828338623, 3.309999942779541]","[0.09800000488758087, 0.19300000369548798, 0.004000000189989805, 0.006000000052154064]","[0.9254902601242065, 0.9019608497619629, 0.9098039865493774, 0.917647123336792]","[0.19607844948768616, 0.2039215862751007, 0.1882353127002716, 0.1882353127002716]","[71.0999984741211, 68.4000015258789, 67.5, 65.69999694824219]"
1.44755E+18,"[3.2799999713897705, 3.569999933242798, 3.5, 3.2699999809265137]","[0.09100000560283661, 0.15600000321865082, 0.006000000052154064, -0.004000000189989805]","[0.9215686917304993, 0.8941177129745483, 0.9647059440612793, 0.9019608497619629]","[0.1764705926179886, 0.20000001788139343, 0.2039215862751007, 0.21568629145622253]","[70.6500015258789, 72.0, 68.4000015258789, 69.29999542236328]"
1.44755E+18,"[3.2699999809265137, 3.609999895095825, 3.429999828338623, 3.259999990463257]","[0.10100000351667404, 0.10900000482797623, 0.023000001907348633, 0.0]","[0.8784314393997192, 0.9450981020927429, 0.9294118285179138, 0.9372549653053284]","[0.21568629145622253, 0.19607844948768616, 0.20784315466880798, 0.23137256503105164]","[73.3499984741211, 70.19999694824219, 67.94999694824219, 72.0]"
1.44755E+18,"[3.309999942779541, 3.549999952316284, 3.359999895095825, 3.309999942779541]","[0.07000000029802322, 0.07500000298023224, 0.026000000536441803, -0.014000000432133675]","[0.9764706492424011, 0.9803922176361084, 0.9450981020927429, 0.9725490808486938]","[0.18431372940540314, 0.20000001788139343, 0.21568629145622253, 0.1568627506494522]","[72.9000015258789, 71.54999542236328, 69.29999542236328, 63.0]"
1.44755E+18,"[3.359999895095825, 3.4099998474121094, nan, 3.3299999237060547]","[0.029000001028180122, 0.03700000047683716, 0.02500000037252903, nan]","[0.9725490808486938, 0.988235354423523, 0.0, 0.9921569228172302]","[0.19607844948768616, 0.20000001788139343, 0.0, 0.20784315466880798]","[70.6500015258789, 69.29999542236328, 0.0, 71.0999984741211]"
1.44755E+18,"[3.429999828338623, 3.2300000190734863, 3.2300000190734863, 3.319999933242798]","[0.03500000014901161, 0.01600000075995922, 0.02200000174343586, -0.007000000216066837]","[1.0, 1.0, 1.0, 1.0]","[0.18039216101169586, 0.2039215862751007, 0.20784315466880798, 0.21176472306251526]","[71.54999542236328, 74.69999694824219, 72.0, 72.9000015258789]"
1.44755E+18,"[3.5199999809265137, 3.2899999618530273, 3.2300000190734863, 3.379999876022339]","[0.055000003427267075, 0.021000001579523087, 0.023000001907348633, 0.006000000052154064]","[0.9568628072738647, 0.9411765336990356, 0.9529412388801575, 0.9333333969116211]","[0.16470588743686676, 0.18039216101169586, 0.20784315466880798, 0.20000001788139343]","[67.5, 72.44999694824219, 69.75, 69.29999542236328]"
1.44755E+18,"[3.4499998092651367, 3.3399999141693115, 3.2899999618530273, 3.3399999141693115]","[0.04200000315904617, 0.01100000087171793, 0.02800000086426735, -0.005000000353902578]","[0.9921569228172302, 0.9686275124549866, 0.960784375667572, 0.9803922176361084]","[0.1725490242242813, 0.19607844948768616, 0.21568629145622253, 0.22352942824363708]","[71.54999542236328, 70.19999694824219, 71.0999984741211, 71.0999984741211]"
1.44755E+18,"[3.3299999237060547, 3.419999837875366, 3.3299999237060547, 3.2699999809265137]","[0.017000000923871994, -0.029000001028180122, 0.039000000804662704, -0.003000000026077032]","[0.9921569228172302, 0.9647059440612793, 0.960784375667572, 0.9803922176361084]","[0.14509804546833038, 0.18039216101169586, 0.19215688109397888, 0.22352942824363708]","[69.75, 67.94999694824219, 67.04999542236328, 71.54999542236328]"
1.44755E+18,"[3.3299999237060547, 3.379999876022339, 3.3399999141693115, 3.240000009536743]","[0.04100000113248825, 0.014000000432133675, 0.021000001579523087, 0.005000000353902578]","[0.9843137860298157, 0.9803922176361084, 0.9568628072738647, 0.9960784912109375]","[0.16862745583057404, 0.18431372940540314, 0.2039215862751007, 0.21176472306251526]","[72.9000015258789, 69.75, 68.4000015258789, 70.6500015258789]"
